timestamp_s,stimulus_state,left_diameter_px,right_diameter_px
0.0010,baseline,9.849058151245117,8.062458038330078
0.2278,baseline,7.675240516662598,7.810449600219727
0.2923,baseline,8.544203758239746,8.062458038330078
0.3486,baseline,8.246411323547363,7.211302280426025
0.3986,baseline,8.544203758239746,8.60252571105957
0.4507,baseline,8.544203758239746,8.60252571105957
0.5024,baseline,7.615972995758057,8.544203758239746
0.5519,baseline,8.944472312927246,9.219744682312012
0.6029,baseline,8.7728853225708,9.849058151245117
0.6465,baseline,8.944472312927246,8.944472312927246
0.6945,baseline,9.487032890319824,8.944472312927246
0.7365,baseline,9.487032890319824,9.487032890319824
0.7810,baseline,8.062458038330078,9.487032890319824
0.8480,baseline,8.310585021972656,7.615972995758057
0.9090,baseline,8.246411323547363,8.60252571105957
0.9496,baseline,8.412096977233887,9.487032890319824
0.9919,baseline,8.544203758239746,9.849058151245117
1.0389,baseline,8.062458038330078,8.665489196777344
1.0915,baseline,7.615972995758057,7.852128982543945
1.1365,baseline,8.60252571105957,8.062458038330078
1.1850,baseline,8.60252571105957,8.544203758239746
1.3063,baseline,9.487032890319824,8.062458038330078
1.3699,baseline,8.944472312927246,8.944472312927246
1.4139,baseline,8.944472312927246,8.544203758239746
1.4556,baseline,9.487032890319824,8.544203758239746
1.4976,baseline,8.544203758239746,8.062458038330078
1.5376,baseline,8.944472312927246,8.944472312927246
1.5831,baseline,9.487032890319824,8.944472312927246
1.6353,baseline,8.944472312927246,9.849058151245117
1.6759,baseline,8.944472312927246,7.693292617797852
1.7399,baseline,8.544203758239746,8.60252571105957
1.7882,baseline,8.544203758239746,8.062458038330078
1.8403,baseline,9.849058151245117,8.544203758239746
1.8859,baseline,8.544203758239746,8.062458038330078
1.9379,baseline,8.062458038330078,8.7728853225708
1.9895,baseline,9.849058151245117,7.615972995758057
2.0481,baseline,8.544203758239746,8.062458038330078
2.0961,baseline,8.062458038330078,7.615972995758057
2.1411,baseline,7.615972995758057,8.062458038330078
2.1892,baseline,8.544203758239746,8.60252571105957
2.2353,baseline,7.615972995758057,8.062458038330078
2.2845,baseline,7.615972995758057,8.544203758239746
2.3394,baseline,8.66549015045166,8.062458038330078
2.3849,baseline,9.487032890319824,7.852128982543945
2.4330,baseline,9.487032890319824,8.944472312927246
2.4975,baseline,8.544203758239746,8.544203758239746
2.5490,baseline,7.615972995758057,8.944472312927246
2.5971,baseline,9.487032890319824,9.219744682312012
2.6482,baseline,9.487032890319824,8.944472312927246
2.6952,baseline,9.487032890319824,8.062458038330078
2.7469,baseline,9.849058151245117,8.944472312927246
2.7915,baseline,7.693292140960693,8.944472312927246
2.8436,baseline,8.544203758239746,9.434181213378906
2.9015,baseline,7.814512252807617,8.944472312927246
2.9501,baseline,9.487032890319824,7.852128982543945
2.9961,baseline,7.280309677124023,8.60252571105957
3.0411,flash,7.615972995758057,7.211302280426025
3.0996,flash,7.211302280426025,7.615972995758057
3.1462,flash,7.615972995758057,6.5301313400268555
3.2023,flash,7.615972995758057,7.615972995758057
3.2508,flash,8.544203758239746,8.14431095123291
3.2998,flash,7.693292140960693,7.810449600219727
3.3439,recovery,8.544203758239746,9.487032890319824
3.3965,recovery,9.487032890319824,8.062458038330078
3.4456,recovery,8.246411323547363,8.665489196777344
3.4926,recovery,7.965123176574707,7.615972995758057
3.5426,recovery,8.689861297607422,8.062458038330078
3.5891,recovery,7.211302280426025,8.60252571105957
3.6507,recovery,7.09385871887207,8.944472312927246
3.7031,recovery,7.211302280426025,9.219744682312012
3.7556,recovery,7.211302280426025,7.810449600219727
3.7996,recovery,7.965123176574707,7.615972995758057
3.8483,recovery,7.615972995758057,7.3107709884643555
3.8972,recovery,7.615972995758057,8.144309997558594
3.9423,recovery,7.693292140960693,8.610694885253906
3.9979,recovery,7.693292140960693,8.062458038330078
4.0505,recovery,9.529959678649902,7.310770511627197
4.1118,recovery,9.849058151245117,9.909667015075684
4.1623,recovery,7.8521294593811035,8.14431095123291
4.2183,recovery,7.211302280426025,9.487032890319824
4.2676,recovery,7.615972995758057,8.544203758239746
4.3236,recovery,8.062458038330078,8.062458038330078
4.3712,recovery,8.544203758239746,8.062458038330078
4.4182,recovery,8.610694885253906,8.60252571105957
4.4647,recovery,8.665489196777344,8.062458038330078
4.5137,recovery,9.849058151245117,8.062458038330078
4.5623,recovery,9.487032890319824,8.944472312927246
4.6205,recovery,9.487032890319824,8.60252571105957
4.6962,recovery,8.610694885253906,8.944472312927246
4.7558,recovery,9.849058151245117,8.944472312927246
4.8048,recovery,8.544203758239746,9.487032890319824
4.8516,recovery,8.062458038330078,8.062458038330078
4.8975,recovery,8.544203758239746,10.440506935119629
4.9456,recovery,8.544203758239746,8.544203758239746
4.9943,recovery,8.544203758239746,8.944472312927246
5.0453,recovery,8.062458038330078,10.440506935119629
5.1459,recovery,8.544203758239746,8.062458038330078
5.1884,recovery,8.544203758239746,8.062458038330078
5.2315,recovery,9.487032890319824,8.544203758239746
5.2721,recovery,9.487032890319824,8.944472312927246
5.3148,recovery,8.944472312927246,8.485481262207031
5.3581,recovery,8.544203758239746,8.062458038330078
5.4260,recovery,8.246411323547363,7.693292617797852
5.4816,recovery,8.944472312927246,8.544203758239746
5.5216,recovery,9.487032890319824,9.487032890319824
5.5662,recovery,8.544203758239746,8.310585021972656
5.6082,recovery,7.433234214782715,8.544203758239746
5.6497,recovery,8.944472312927246,9.487032890319824
5.6937,recovery,8.944472312927246,8.544203758239746
5.7508,recovery,10.440506935119629,8.65772533416748
5.7908,recovery,8.544203758239746,8.944472312927246
5.8369,recovery,9.487032890319824,8.310585021972656
5.9018,recovery,9.487032890319824,8.944472312927246
5.9488,recovery,,7.615972995758057
5.9963,recovery,9.849058151245117,9.849058151245117
6.0459,recovery,9.849058151245117,5.000199794769287
6.1104,recovery,9.529959678649902,9.849058151245117
6.1715,recovery,9.487032890319824,8.944472312927246
6.2305,recovery,9.487032890319824,9.487032890319824
6.2751,recovery,9.487032890319824,8.944472312927246
6.3361,recovery,9.487032890319824,8.062458038330078
6.3977,recovery,9.849058151245117,8.665489196777344
6.4487,recovery,8.544203758239746,8.544203758239746
6.4992,recovery,9.529959678649902,8.310585021972656
6.5453,recovery,9.849058151245117,8.944472312927246
6.5948,recovery,7.693292140960693,8.944472312927246
6.6583,recovery,7.615972995758057,8.062458038330078
6.7173,recovery,8.310585021972656,8.944472312927246
6.7627,recovery,9.219744682312012,7.615972995758057
6.8197,recovery,8.544203758239746,8.062458038330078
6.8649,recovery,8.544203758239746,9.244392395019531
6.9553,recovery,10.440506935119629,8.665489196777344
7.0043,recovery,8.944472312927246,9.487032890319824
7.0560,recovery,8.544203758239746,8.60252571105957
7.1020,recovery,8.544203758239746,8.544203758239746
7.1497,recovery,9.487032890319824,9.849058151245117
7.1992,recovery,8.544203758239746,8.572242736816406
7.2473,recovery,8.246411323547363,8.544203758239746
7.2975,recovery,9.487032890319824,8.944472312927246
7.3465,recovery,9.849058151245117,8.544203758239746
7.3945,recovery,10.440506935119629,8.665489196777344
7.4415,recovery,8.944472312927246,8.944472312927246
7.4901,recovery,8.610694885253906,10.440506935119629
7.5391,recovery,8.544203758239746,8.572242736816406
7.5929,recovery,8.062458038330078,8.544203758239746
7.6399,recovery,8.544203758239746,8.544203758239746
7.6925,recovery,8.062458038330078,10.440506935119629
7.7375,recovery,7.615972995758057,8.944472312927246
7.7830,recovery,8.544203758239746,8.246411323547363
7.8290,recovery,8.544203758239746,9.487032890319824
7.8746,recovery,8.544203758239746,8.246411323547363
7.9236,recovery,7.615972995758057,9.487032890319824
7.9707,recovery,7.211302280426025,8.944472312927246
8.0157,recovery,7.965123176574707,7.615972995758057
8.0664,recovery,8.544203758239746,7.615972995758057
8.1174,recovery,9.487032890319824,9.487032890319824
8.1659,recovery,9.849058151245117,9.219744682312012
8.2110,recovery,10.440506935119629,8.944472312927246
8.2565,recovery,9.487032890319824,8.062458038330078
8.3087,recovery,8.062458038330078,8.60252571105957
8.3558,recovery,10.440506935119629,8.062458038330078
8.4109,recovery,10.440506935119629,8.062458038330078
8.5084,recovery,8.544203758239746,8.544203758239746
